role,client_id,utilization,packages,busy_ns,total_ns
edge,65901c62,0.801678,56,152986997749,190833377489
edge,c864a374,0.800641,56,153450160988,191659074653
edge,3ef56d61,0.814110,56,162754313434,199916965527
edge,5a224d4e,0.865039,56,226059571867,261328648627
edge,a33d2099,0.875394,56,231676443649,264653796608
edge,b99ffaa7,0.887143,56,248629143822,280258169857
edge,446eb53c,0.898665,56,305816037259,340300347440
edge,51b1513e,0.900361,56,311316845648,345768750241
edge,a6d2d614,0.902773,56,315883496197,349903577054
cloud,0942653a,0.943833,174,650629142099,689347460697
cloud,5e4d7ec3,0.946607,166,654163249521,691061148752
cloud,61b331fe,0.946592,173,654511826417,691440001937
